episode,color_idx,shape_idx,size_idx,success,token_0,token_1,token_2
528,1,0,0,1,4,5,9
529,0,1,0,0,4,5,0
530,1,2,0,1,3,5,0
531,0,0,1,0,3,6,1
532,1,1,0,1,4,5,0
533,0,2,1,1,3,6,6
534,1,2,0,1,3,5,0
535,1,1,0,1,4,5,0
536,2,0,1,1,3,6,1
537,2,1,1,1,3,6,8
538,1,1,1,1,3,6,8
539,2,1,0,0,4,5,0
540,1,1,0,1,4,5,0
541,0,0,1,1,3,6,1
542,1,2,1,1,3,6,6
543,0,1,0,0,4,5,0
544,2,1,1,1,3,6,8
545,2,2,0,1,3,5,0
546,0,2,1,1,3,6,6
547,0,2,0,0,3,5,0
548,1,1,0,1,4,5,0
549,2,0,0,1,4,5,9
550,0,2,0,1,3,5,0
551,2,2,0,1,3,5,0
552,2,0,0,1,4,5,9
553,2,0,1,0,3,6,1
554,0,2,0,1,3,5,0
555,2,0,1,1,3,6,1
556,0,1,1,0,3,6,8
557,0,1,1,0,3,6,8
558,2,0,0,0,4,5,9
559,1,2,0,1,3,5,0
560,0,0,1,0,3,6,1
561,0,0,0,0,4,5,9
562,1,0,0,1,4,5,9
563,2,1,0,1,4,5,0
564,1,0,1,1,3,6,1
565,2,2,0,1,3,5,0
566,1,2,1,1,3,6,6
567,2,0,1,1,3,6,1
568,0,1,0,0,4,5,0
569,0,0,0,1,4,5,9
570,2,2,0,1,3,5,0
571,0,1,1,1,3,6,8
572,1,0,1,0,3,6,1
573,2,1,1,1,3,6,8
574,0,2,0,1,3,5,0
575,2,1,0,0,4,5,0
576,1,0,1,0,3,6,1
577,2,1,0,0,4,5,0
578,0,1,1,0,3,6,8
579,1,1,0,0,4,5,0
580,1,0,1,0,3,6,1
581,2,1,1,1,3,6,8
582,2,0,0,0,4,5,9
583,2,1,0,0,4,5,0
584,0,0,1,1,3,6,1
585,1,2,0,1,3,5,0
586,2,2,1,0,3,6,6
587,0,2,0,1,3,5,0
588,1,0,1,0,3,6,1
589,2,2,0,1,3,5,0
590,1,0,0,1,4,5,9
591,0,1,1,1,3,6,8
592,0,1,0,0,4,5,0
593,2,2,0,1,3,5,0
594,2,2,0,1,3,5,0
595,1,2,0,1,3,5,0
596,1,0,0,1,4,5,9
597,1,2,1,0,3,6,6
598,1,0,0,1,4,5,9
599,2,0,0,0,4,5,9
600,0,0,0,0,4,5,9
601,0,1,1,1,3,6,8
602,1,2,1,1,3,6,6
603,2,2,1,1,3,6,6
604,2,0,0,1,4,5,9
605,0,0,0,0,4,5,9
606,1,0,1,1,3,6,1
607,0,1,1,1,3,6,8
608,1,0,0,1,4,5,9
609,2,1,1,1,3,6,8
610,2,2,1,1,3,6,6
611,2,0,0,1,4,5,9
612,0,1,1,1,3,6,8
613,1,2,0,0,3,5,0
614,2,0,1,1,3,6,1
615,2,2,0,1,3,5,0
616,2,0,1,1,3,6,1
617,2,2,0,1,3,5,0
618,1,1,0,1,4,5,0
619,2,2,1,1,3,6,6
620,2,2,1,1,3,6,6
621,0,1,1,0,3,6,8
622,0,2,0,1,3,5,0
623,0,0,0,1,4,5,9
624,0,2,0,0,3,5,0
625,0,2,1,1,3,6,6
626,2,2,1,0,3,6,6
627,0,1,1,0,3,6,8
628,2,2,0,1,3,5,0
629,1,2,1,1,3,6,6
630,2,0,0,0,4,5,9
631,2,1,1,1,3,6,8
632,2,1,0,1,4,5,0
633,2,2,0,1,3,5,0
634,2,1,0,1,4,5,0
635,1,2,1,1,3,6,6
636,1,2,1,1,3,6,6
637,2,2,0,1,3,5,0
638,0,0,0,1,4,5,9
639,2,0,1,1,3,6,1
640,2,2,1,0,3,6,6
641,1,0,1,0,3,6,1
642,2,2,1,1,3,6,6
643,1,1,0,1,4,5,0
644,1,0,0,1,4,5,9
645,2,1,0,1,4,5,0
646,1,0,0,1,4,5,9
647,2,2,1,1,3,6,6
648,1,1,1,1,3,6,8
649,2,0,0,1,4,5,9
650,2,2,1,0,3,6,6
651,0,1,1,1,3,6,8
652,0,1,0,1,4,5,0
653,2,2,0,1,3,5,0
654,0,0,1,0,3,6,1
655,1,2,0,0,3,5,0
656,2,2,0,1,3,5,0
657,2,1,1,1,3,6,8
658,1,1,1,1,3,6,8
659,2,1,0,0,4,5,0
660,2,0,0,1,4,5,9
661,1,2,1,1,3,6,6
662,1,1,1,1,3,6,8
663,2,1,0,1,4,5,0
664,0,1,1,0,3,6,8
665,0,2,0,1,3,5,0
666,0,2,0,0,3,5,0
667,0,0,1,1,3,6,1
668,0,0,1,1,3,6,1
669,0,2,1,0,3,6,6
670,2,1,1,1,3,6,8
671,0,0,0,1,4,5,9
672,0,2,1,1,3,6,6
673,1,1,1,1,3,6,8
674,2,1,1,0,3,6,8
675,1,2,1,1,3,6,6
676,1,0,0,1,4,5,9
677,0,0,1,1,3,6,1
678,2,1,1,1,3,6,8
679,0,0,0,0,4,5,9
680,2,1,0,1,4,5,0
681,1,1,1,1,3,6,8
682,0,0,1,0,3,6,1
683,0,2,0,0,3,5,0
684,2,2,0,1,3,5,0
685,1,0,1,1,3,6,1
686,1,0,0,1,4,5,9
687,0,2,1,1,3,6,6
688,0,1,1,0,3,6,8
689,0,2,1,0,3,6,6
690,2,2,0,1,3,5,0
691,2,2,0,1,3,5,0
692,0,2,0,0,3,5,0
693,2,1,1,1,3,6,8
694,0,1,0,0,4,5,0
695,1,0,0,1,4,5,9
696,2,2,1,1,3,6,6
697,1,1,0,1,4,5,0
698,0,0,0,0,4,5,9
699,1,1,0,0,4,5,0
700,0,2,0,1,3,5,0
701,1,1,0,1,4,5,0
702,0,1,0,0,4,5,0
703,1,2,0,1,3,5,0
704,1,1,0,1,4,5,0
705,2,1,1,1,3,6,8
706,0,0,0,0,4,5,9
707,1,0,1,0,3,6,1
708,2,2,1,0,3,6,6
709,0,0,1,0,3,6,1
710,1,0,1,1,3,6,1
711,2,2,0,1,3,5,0
712,2,0,0,0,4,5,9
713,2,1,1,1,3,6,8
714,0,2,0,0,3,5,0
715,1,1,0,1,4,5,0
716,1,1,0,1,4,5,0
717,1,2,1,1,3,6,6
718,0,0,1,1,3,6,1
719,2,2,0,0,3,5,0
720,0,1,1,0,3,6,8
721,2,1,0,1,4,5,0
722,1,2,0,1,3,5,0
723,2,0,0,1,4,5,9
724,2,1,0,1,4,5,0
725,0,1,0,0,4,5,0
726,1,0,0,1,4,5,9
727,0,2,0,0,3,5,0
728,2,2,1,1,3,6,6
729,1,1,0,1,4,5,0
730,2,1,0,1,4,5,0
731,1,1,0,1,4,5,0
732,2,1,1,0,3,6,8
733,2,1,0,0,4,5,0
734,0,1,0,0,4,5,0
735,1,2,1,1,3,6,6
736,0,1,1,1,3,6,8
737,1,0,1,1,3,6,1
738,2,2,1,1,3,6,6
739,2,0,0,0,4,5,9
740,1,2,0,1,3,5,0
741,1,1,0,1,4,5,0
742,0,0,1,1,3,6,1
743,2,0,0,1,4,5,9
744,1,0,0,1,4,5,9
745,1,1,1,1,3,6,8
746,2,1,1,0,3,6,8
747,1,0,1,0,3,6,1
748,1,2,0,1,3,5,0
749,0,0,0,0,4,5,9
750,0,0,1,0,3,6,1
751,0,2,0,1,3,5,0
752,1,2,0,1,3,5,0
753,2,2,1,0,3,6,6
754,0,2,0,0,3,5,0
755,0,2,1,1,3,6,6
756,0,2,1,1,3,6,6
757,0,0,1,0,3,6,1
758,1,0,1,1,3,6,1
759,0,1,1,0,3,6,8
760,2,0,1,1,3,6,1
761,2,1,0,0,4,5,0
762,1,2,1,1,3,6,6
763,0,2,1,1,3,6,6
764,1,1,0,1,4,5,0
765,0,2,1,0,3,6,6
766,2,2,0,0,3,5,0
767,1,1,0,1,4,5,0
768,1,0,0,1,4,5,9
769,2,0,1,1,3,6,1
770,1,0,1,0,3,6,1
771,0,1,0,1,4,5,0
772,1,1,0,1,4,5,0
773,2,0,1,1,3,6,1
774,0,2,1,0,3,6,6
775,2,0,0,1,4,5,9
776,0,2,0,0,3,5,0
777,0,1,0,0,4,5,0
778,1,1,0,1,4,5,0
779,2,1,1,1,3,6,8
780,0,1,0,1,4,5,0
781,0,1,1,0,3,6,8
782,2,1,1,1,3,6,8
783,0,2,0,1,3,5,0
784,2,2,0,1,3,5,0
785,1,2,1,1,3,6,6
786,0,1,0,0,4,5,0
787,1,1,0,1,4,5,0
788,2,2,0,0,3,5,0
789,2,1,0,1,4,5,0
790,2,0,1,1,3,6,1
791,1,2,1,1,3,6,6
792,0,1,0,0,4,5,0
793,2,1,0,1,4,5,0
794,1,0,1,1,3,6,1
795,0,1,0,1,4,5,0
796,2,1,1,1,3,6,8
797,2,1,0,1,4,5,0
798,2,0,0,0,4,5,9
799,2,1,1,1,3,6,8
800,1,2,1,1,3,6,6
801,1,2,0,1,3,5,0
802,0,1,1,1,3,6,8
803,2,2,1,1,3,6,6
804,2,2,0,1,3,5,0
805,2,1,0,1,4,5,0
806,1,0,0,1,4,5,9
807,0,0,0,1,4,5,9
808,1,0,1,0,3,6,1
809,1,0,1,1,3,6,1
810,0,2,0,0,3,5,0
811,0,0,1,1,3,6,1
812,2,1,0,1,4,5,0
813,0,0,1,1,3,6,1
814,2,1,1,1,3,6,8
815,0,1,1,0,3,6,8
816,0,1,0,0,4,5,0
817,0,2,0,1,3,5,0
818,0,1,1,1,3,6,8
819,2,2,1,1,3,6,6
820,0,0,0,1,4,5,9
821,2,1,1,1,3,6,8
822,2,2,1,0,3,6,6
823,2,1,1,1,3,6,8
824,1,2,0,1,3,5,0
825,1,2,0,1,3,5,0
826,0,2,1,0,3,6,6
827,2,1,0,1,4,5,0
828,0,2,1,0,3,6,6
829,0,1,1,1,3,6,8
830,1,1,0,1,4,5,0
831,0,1,1,0,3,6,8
832,2,2,1,1,3,6,6
833,1,0,1,0,3,6,1
834,2,0,1,1,3,6,1
835,1,0,1,1,3,6,1
836,1,0,1,1,3,6,1
837,2,2,1,1,3,6,6
838,1,2,0,1,3,5,0
839,1,1,1,1,3,6,8
840,0,0,1,0,3,6,1
841,0,1,1,0,3,6,8
842,0,0,0,1,4,5,9
843,0,2,1,0,3,6,6
844,1,2,0,1,3,5,0
845,0,2,0,1,3,5,0
846,2,0,0,1,4,5,9
847,2,1,1,1,3,6,8
848,0,2,0,1,3,5,0
849,1,2,1,1,3,6,6
850,0,0,1,1,3,6,1
851,2,0,0,1,4,5,9
852,2,0,1,1,3,6,1
853,2,1,0,0,4,5,0
854,0,2,1,0,3,6,6
855,1,2,0,1,3,5,0
856,0,1,1,0,3,6,8
857,0,0,1,0,3,6,1
858,0,0,1,1,3,6,1
859,1,2,0,1,3,5,0
860,1,0,0,1,4,5,9
861,1,0,0,1,4,5,9
862,2,2,0,1,3,5,0
863,2,2,0,0,3,5,0
864,0,1,1,0,3,6,8
865,2,2,1,1,3,6,6
866,2,2,0,1,3,5,0
867,0,1,1,0,3,6,8
